id,career,engJmNm,hist,implNm,instiNm,jmNm,job,mdobligFldNm,seriesNm,summary,trend
1290,None,None,None,None,한국산업인력공단,건설교통부,건축시공기사1급,None,건축,기사,None,None
1291,None,None,None,None,한국산업인력공단,건설교통부,건축시공기사2급,None,건축,기사,None,None
1292,None,None,Class Ⅰ Craftsman Building General Work,None,한국산업인력공단,건설교통부,건축일반시공기능사1급,None,건축,기사,None,None
1293,None,ㅇ 건축공사 전문시공업체에 진출할 수 있으며 자영도 가능하다. ㅇ 건설경기 활성화 대책으로 공공건설의 투자확대 주택자금 지원 세제지원 국민임 대 주택 건설 및 각종 법령의 개정 등 정부의 정책적 지원과 국내 대형 건설사의 경 영상태가 부채비율 감소 자기자본비율 증가 등의 영향으로 건전해지고 향후 부동 산 경기회복이 본격화될 것으로 보고 아파트공급량을 대폭 확대할 계획 등 증가요인 으로 건축일반시공산업기사의 인력수요는 증가할 것이다.,Industrial Engineer Building General Work,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호’95.10.16. 대통령령 제14783호 ’98.05.09. 대통령령 제15794호’10.12.13고용노동부령 제11호 현재미장기능기사1급건축시공기능사1급건축시공기능사1급건축일반시공산업기사건축일반시공산업기사건축일반시공산업기사타일기능기사1급건축시공기능사1급건축일반시공산업기사조적기능기사1급조적기능사1급조적산업기사,한국산업인력공단,국토교통부,건축일반시공산업기사,건물의 구조물이 세워진 후 벽 천정 바닥과 관련하여 미장 타일시공 등 마감작업을  하거나 하위 기능자의 지도 및 감독 수행.,건축,기사,건축구조물의 대형화 새로운 시공방법의 개발 특수재료의 개발 등 건축공사의 급격한  발달과 증가로 인하여 건축시공분야에서 많은 기능인력을 요구하게 되었고 이에 따라  건축시공에 관한 자격제도 제정.,-각종 조적 구조물 구성작업 및 건축물의 벽 천장 바닥 등에 미장 타일 시공 등의 마감작업을 할 수 있는 능력을 평가
1294,None,None,Industrial Engineer Architectural Drawing,None,한국산업인력공단,고용노동부,건축제도산업기사,None,건축,기사,None,None
1295,None,None,Class Ⅰ Craftsman Roof Tile Work,None,한국산업인력공단,고용노동부,기와기능사1급,None,건축,기사,None,None
1296,None,None,Industrial Engineer Wall Papering,None,한국산업인력공단,국토교통부,도배산업기사,None,건축,기사,None,None
1297,None,None,Class Ⅰ Craftsman Wood Joinery,None,한국산업인력공단,건설교통부,목재창호기능사1급,None,건축,기사,None,None
1298,None,None,Industrial Engineer Wood Joinery,None,한국산업인력공단,국토교통부,목재창호산업기사,None,건축,기사,None,None
1299,None,None,None,None,한국산업인력공단,고용노동부,미장기능사1급,None,건축,기사,None,None
1300,None,None,Class Ⅰ Craftsman Water Proof Work,None,한국산업인력공단,건설교통부,방수기능사1급,None,건축,기사,None,None
1301,None,방수산업기사는 방수공사현장에 필요한 관리 인력으로 정부 및 지방자치단체 한국토지주택공사 등에서 발주하는 모든 건설공사현장에서 공사현장을 관리하고 체계적인 시공 품질 안전 유지관리의 역할을 하는 중간관리자로서 그수요가 요구될 것으로 전망된다.,Water Proofing Industrial Engineer,‘11.11.23. 고용노동부령 제35호 방수산업기사 신설,한국산업인력공단,국토교통부,방수산업기사,- 건설구조물의 건설 일반에 대한 기초지식과 방수재료 및 방수시공 방수유지관리 등에 관한 전문 지식을 갖춘다.- 방수공사 실무를 습득하여 합리적인 현장 관리 방법으로 방수공사의 안전과 품질을 확보한다.-시공 과정에서 발생되는 방수공사의 문제점 및 하자 원인 등을 이해하여 이를 방지하도록 시공 지도 관리 감독 등의 업무를 수행한다.,건축,기사,건축 및 토목 시설물의 대형화 고층화 복잡화 등으로 방수시공의 어려움과 누수하자 패턴이 날로 복잡하고 다양해짐에 따라 과학적이고 전문적인 방수 시공 및 품질 유지관리 등에 관한지식을 가진 전문가를 양성할 목적으로 신설,o실기시험은 복합형(필답형(60점) + 작업형(동영상) 40점)으로 구성o 필답형 실기시험(2시간)은 출제기준을 참조o작업형 실기시험(1시간)은 동영상 시험으로 구성
1302,None,None,Industrial Engineer Scaffolding,None,한국산업인력공단,국토교통부,비계산업기사,None,건축,기사,None,None
1303,None,- 건축설계사무실 건설회사 인테리어사업부 인테리어전문업체 백화점 방송국 모델 하우스 전문시공업체 디스플레이전문업체 등에 취업할 수 있으며 본인이 직접 개업하거나 프리랜서로 활동이 가능하다. 의장공사협의회의 자료를 보면 1999 년 1월 현재 면허업체가 1813개사 1997년 기성실적이 2조 3753억 67백만원에 이르며 2000년 이후 실내건축 시장은 국내경제의 회복에 따른 수요증대 및 ASEM 정상회의(2000)에 따른 회의장 및 부속시설 영종도 신공항건설(2000) 부산아시 안게임 관련공사(2002) 월드컵(2002) 주경기장과 부대시설공사 등 대규모 국가단 위 행사 또는 국책사업 등에 의해 새로운 도약기를 맞았다. 이밖에 실내건축은 창의적인 능력과 경험을 토대로 하는 지식산업의 하나로 상당한 부가가치를 창출할 수 있으며 실내공간의 용도가 전문적이고도 특별한 기능이 요구되는 상업공간 주 거공간 전시공간 사무공간 의료공간 예식공간 교육공간 스포츠레저공 간 호텔 테마파크 등 업무영역의 확대로 실내건축기사의 인력수요는 증가할 전망이다. 또한 경쟁도 심화되어 고도의 전문지식 습득 및 서비스정신 일에 대한 정열은 필수적이다.,Engineer Interior Architecture,’91.10.31. 대통령령 제13494호’98.05.09. 대통령령 제15794호현재의장기사1급실내건축기사실내건축기사,한국산업인력공단,국토교통부,실내건축기사,건축공간을 기능적 미적으로 계획하기 위하여 현장분석자료 및 기본개념을 가지고 공간의 기능에 맞게 면적을 배분하여 공간을 계획 및 구성하며 이러한 구성개념의 표현을 위하여 개념도 평면도 천정도 입면도 상세도 투시도 및 재료 마감표를 작성 완료된 설계도서에 의거하여 현장의 공정 및 시공을 총괄관리 하는 등의 직무 수행,건축,기사,실내공간은 기능적 조건뿐만 아니라 인간의 예술적 정서적 욕구의 만족까지 추구해 야 하는 것으로 실내공간을 계획하는 실내건축분야는 환경에 대한 이해와 건축적 이해 를 바탕으로 기능적이고 합리적인 계획 시공 등의 업무를 수행할 수 있는 지식과 기술 이 요구된다. 이에 따라 실내건축분야에서 필요로 하는 인력을 양성하고자 함.,-필답형은 출제기준을 참조하시기 바랍니다.-작업형은 건축실내의 설계에 있어 각종 유형의 실내디자인을 계획하고 실무도면을 작성하기 위한 개념도 평면도 천장도 입면도 상세도 투시도 등의 작성능력을 평가
1304,None,- 건축설계사무실 건설회사 인테리어사업부 인테리어전문업체 백화점 방송국 모델하우스 전문시공업체 디스플레이전문업체 등에 취업할 수 있으며 본인이 직접 개업하거나 프리랜서로 활동이 가능하다. 의장공사협의회의 자료를 보면 1999년 1월 현재 면허업체가 1813개사 1997년 기성실적이 2조 3753억 67백만 원에 이르며 2000년 이후 실내건축 시장은 국내경제의 회복에 따른 수요증대 및 ASEM 정상회의(2000)에 따른 회의장 및 부속시설 영종도 신공항건설(2000) 부 산아시안게임 관련공사(2002) 월드컵(2002) 주경기장과 부대시설공사 등 대규모 국가단위 행사 또는 국책사업 등에 의해 새로운 도약기를 맞았다. 이밖에 실내건축은 창의적인 능력과 경험을 토대로 하는 지식산업의 하나로 상당한 부가가치를 창출할 수 있으며 실내공간의 용도가 전문적이고도 특별한 기능이 요구 되는 상업공간 주거공간 전시공간 사무공간 의료공간 예식공간 교육공간 스포츠레저공간 호텔 테마파크 등 업무영역의 확대로 실내건축산업기사의 인력 수요는 증가할 전망이다. 또한 경쟁도 심화되어 고도의 전문지식 습득 및 서비스정신 일에 대한 정열은 필수적이다.,Industrial Engineer Interior Architecture,’91.10.31. 대통령령 제13494호’98.05.09. 대통령령 제15794호현재의장기사2급실내건축산업기사실내건축산업기사,한국산업인력공단,국토교통부,실내건축산업기사,건축공간을 기능적 미적으로 계획하기 위하여 현장분석자료 및 기본개념을 가지고 공간의 기능에 맞게 면적을 배분하여 공간을 계획 및 구성하며 이러한 구성개념의 표현을 위하여 개념도 평면도 천정도 입면도 상세도 투시도 및 재료 마감표를 작성 완료된 설계도서에 의거하여 현장의 공정 및 시공을 관리하는 등의 직무 수행,건축,기사,실내공간은 기능적 조건뿐만 아니라 인간의 예술적 정서적 욕구의 만족까지 추구해야  하는 것으로 실내공간을 계획하는 실내건축분야는 환경에 대한 이해와 건축적 이해를  바탕으로 기능적이고 합리적인 계획 시공 등의 업무를 수행할 수 있는 지식과 기술이  요구된다. 이에 따라 건축의장분야에서 필요로 하는 인력을 양성하고자 함.,-필답형은 출제기준을 참조하시기 바랍니다.-작업형은 건축실내의 설계에 있어 각종 유형의 실내디자인을 계획하고 실무도면을 작성하기 위한 개념도 평면도 천장도 입면도 상세도 투시도 등의 작성능력을 평가
1305,None,None,Industrial Engineer Ondol,None,한국산업인력공단,국토교통부,온돌산업기사,None,건축,기사,None,None
1306,None,None,Industrial Engineer Glazier,None,한국산업인력공단,국토교통부,유리시공산업기사,None,건축,기사,None,None
1307,None,None,None,None,한국산업인력공단,고용노동부,조적기능사1급,None,건축,기사,None,None
1308,None,None,Class Ⅰ Craftsman Brick Laying,None,한국산업인력공단,건설교통부,조적기능사1급,None,건축,기사,None,None
1309,None,None,Industrial Engineer Brick Laying,조적산업기사는 건축일반시공산업기사 종목과 2012년 1월 1일부로 건축일반시공산업기사로 통합되었습니다.1974년 조적기능사1급으로 신설되어 1999년 3월 조적산업기사로 개정.,한국산업인력공단,국토해양부,조적산업기사,None,건축,기사,None,None
1310,None,None,None,None,한국산업인력공단,고용노동부,창호제작기능사1급,None,건축,기사,None,None
1311,None,None,Industrial Engineer Reinforced Iron Bar,None,한국산업인력공단,국토교통부,철근산업기사,None,건축,기사,None,None
1312,None,None,None,None,한국산업인력공단,고용노동부,타일기능사1급,None,건축,기사,None,None
1313,None,None,Class Ⅰ Craftsman Galvanized Iron-Sheet Work,None,한국산업인력공단,고용노동부,함석기능사1급,None,건축,기사,None,None
1314,None,각종연구소 연구기관 국회 정당 통계청 행정부 지방자치단체 용역회사 기업체 사회단체 등의 조사업무를 담당한 부서 특히 향후 지방자치단체에서의 수요가 클 것 으로 전망됨.,Survey Analyst Senior,None,한국산업인력공단,통계청,사회조사분석사1급,기업 정당 정부 등 각종단체에 시장조사 및 여론조사 등에 대한 계획을 수립하여 조사 를 수행하고 그 결과를 통계처리 및 분석보고서를 작성하는 업무,경영,기사,사회조사분석사란 다양한 사회정보의 수집·분석·활용을 담당하는 새로운 직종으로 기 업 정당 지방자치단체 중앙정부 등 각종 단체의 시장조사 및 여론조사 등에 대한 계 획을 수립하고 조사를 수행하며 그 결과를 분석 보고서를 작성하는 전문가이다.  지식 사회조사를 완벽하게 끝내기 위해서는 '사회조사방법론'은 물론이고 자료분석을  위한 '통계지식' 통계분석을 위한 '통계패키지프로그램' 이용법 등을 알아야 한다.  또 부가적으로 알아야 할 분야는 마케팅관리론이나 소비자행동론 기획론 등의 주변  관련분야로 이는 사회조사의 많은 부분이 기업과 소비자를 중심으로 발생하기 때문이 다. 사회조사분석사는 보다 정밀한 조사업무를 수행하기 위해 관련분야를 보다 폭넓게  경험하는 것이 중요하다.,시장조사 여론조사 등 사회조사 계획 수립 조사를 수행하고그 수행결과를통계처리하여 분석결과를 작성할 수 있는 업무능력 평가
1315,None,각종연구소 연구기관 국회 정당 통계청 행정부 지방자치단체 용역회사 기업체  사회단체 등의 조사업무를 담당한 부서 특히 향후 지방자치단체에서의 수요가 클 것으 로 전망됨.,Survey AnalystJunior,None,한국산업인력공단,통계청,사회조사분석사2급,기업 정당 정부 등 각종단체에 시장조사 및 여론조사 등에 대한 계획을 수립하여 조사 를 수행하고 그 결과를 통계처리 및 분석보고서를 작성하는 업무,경영,기사,사회조사분석사란 다양한 사회정보의 수집·분석·활용을 담당하는 새로운 직종으로 기 업 정당 지방자치단체 중앙정부 등 각종 단체의 시장조사 및 여론조사 등에 대한 계 획을 수립하고 조사를 수행하며 그 결과를 분석 보고서를 작성하는 전문가이다.  지식 사회조사를 완벽하게 끝내기 위해서는 '사회조사방법론'은 물론이고 자료분석을  위한 '통계지식' 통계분석을 위한 '통계패키지프로그램' 이용법 등을 알아야 한다.  또 부가적으로 알아야 할 분야는 마케팅관리론이나 소비자행동론 기획론 등의 주변  관련분야로 이는 사회조사의 많은 부분이 기업과 소비자를 중심으로 발생하기 때문이 다. 사회조사분석사는 보다 정밀한 조사업무를 수행하기 위해 관련분야를 보다 폭넓게  경험하는 것이 중요하다.,시장조사 여론조사 등 사회조사 계획 수립 조사를 수행하고그 수행결과를통계처리하여 분석결과를 작성할 수 있는 업무능력 평가
1316,None,- 관련직업 : 고객상담원 소보자 보호단체 관리자,Consumer Adviser Senior,None,한국산업인력공단,공정거래위원회,소비자전문상담사1급,기업 및 소비자단체 행정기관의 소비자 관련부서에서 물품과 용역 등에 관한 소비자 불 만 및 피해상담 모니터링 소비자교육프로그램의 기획 및 실시 소비자조사등 소비자  복지향상 유도하는 직무수행,경영,기사,현대사회에서는 기업들이 제공하는 다양한 형태의 제품과 서비스에 대한 소비자의 의견을 수렴하고 소비자들이 가지는 불만과 문제점을 해결하는 등 소비자 권익 보호에 대한 관심이 높아지고 있다.,소비자 불만 및 물품&#8729;서비스 등의 구매 사용방법 등을 상담할 수 있는 능력 및시장조사 및 각종정보를 수집하고 보고서를 작성할 수 있는 능력평가
1317,None,- 관련직업 : 고객상담원 소보자 보호단체 관리자,Consumer Adviser Junior,None,한국산업인력공단,공정거래위원회,소비자전문상담사2급,기업 및 소비자단체 행정기관의 소비자 관련부서에서 물품과 용역 등에 관한 소비자 불 만 및 피해상담 모니터링 소비자교육프로그램의 기획 및 실시 소비자조사등 소비자  복지향상 유도하는 직무수행,경영,기사,현대사회에서는 기업들이 제공하는 다양한 형태의 제품과 서비스에 대한 소비자의 의견을 수렴하고 소비자들이 가지는 불만과 문제점을 해결하는 등 소비자 권익 보호에 대한 관심이 높아지고 있다.,소비자 불만 및 물품&#8729;서비스 등의 구매 사용방법 등을 상담할 수 있는 능력 및시장조사 및 각종정보를 수집하고 보고서를 작성할 수 있는 능력평가
1318,None,- 관련직업 : 행사기획자 회의기획자 국제회의기획자,Convention Meeting Planner Ⅰ,None,한국산업인력공단,문화체육관광부,컨벤션기획사1급,국제회의 유치ㆍ기획ㆍ준비ㆍ진행 등 제반업무를 조정ㆍ운영하면서 회의목표 설정 예산 관리 등록기획 계약 협상 현장관리회의 평가의 직무수행,경영,기사,회의유치에서부터 사후평가에 이르기까지 제반업무를 총괄적으로 관리할 수 있는 경영능력을 갖춘 자로 회의기획/운영을 수행하고 2급 자격자를 관리감독하는 업무를 할 수 있다.,컨벤션 유치&#8729;기획&#8729;운영에 관한 제반업무를 수행할 수 있는 능력과외국어 구사 및 컨벤션 경영&#8729;협상&#8729;마케팅 능력평가
1319,None,- 관련직업 : 행사기획자 회의기획자 국제회의기획자,Convention Meeting Planner Ⅱ,None,한국산업인력공단,문화체육관광부,컨벤션기획사2급,국제회의 유치ㆍ기획ㆍ준비ㆍ진행 등 제반업무를 조정ㆍ운영하면서 회의목표 설정 예산 관리 등록기획 계약 협상 현장관리회의 평가의 직무수행,경영,기사,컨벤션기획사 1급 자격자의 지휘 하에 회의기획/운용 관련 제반업무를 수행하는 자로 회의목표 설정 예산관리 등록기획 계약 협상 현장관리 회의평가 업무에 대해 전문적 지식을 갖고 업무를 할 수 있다.,컨벤션 유치&#8729;기획&#8729;운영에 관한 제반업무를 수행할 수 있는 능력과외국어 구사 및 컨벤션 경영&#8729;협상&#8729;마케팅 능력평가
1320,None,○ 정부산하기관 및 연구소 가행중인 광산 광해방지사업 전문사업체 국내외 자원개발 및 컨설팅 관련업체 등 ○ 친환경 자원개발 정책에 따라 전문인력의 지속적인 수요 증가 예상,Engineer Mining Hazard Prevention Reclamation,’04.12.31. 노동부령 제217호 광해방지기사 신설,한국산업인력공단,산업통상자원부,광해방지기사,○ 광업활동에 의해 발생되거나 우려되는 광산배수 광산폐기물 지반침하 먼지날림·소음진동 및 훼손산림 등에  대한 예측조사·분석 복구 및 사후관리에 대한 종합적인 업무 수행,광해방지,기사,○ 자원개발 전반 과정에서 발생될 수 있는 각종 광해요인을 제거 및 복원하는 업무로 광산 피해의 방지 및 복구에 관한법률에 동 자격취득자를 선임하도록 되어 있는 자격 종목,○ 광산일반 광해조사 평가 처리 복구 및 관리 등 광해방지에 관한 사항
1321,None,- 제철소 제련소 금속기계제조업체에 진출하거나 조선·자동차·항공·전기전자·방위   산업체 등에 진출할 수 있다.  - 계속적인 첨단산업의 발전을 위해서도 이를 뒷받침할 수 있는 재료의 발전이 필수인   데 그 중에서도 철강을 비롯한 금속재료는 여러 산업분야의 주된 원자재이다.  특히    우리 나라의 대표적인 발전산업인 자동차공업과 조선공업에서도 원자재의 대부분을    차지하는 철강공업의 발전 없이는 불가능하다고 할 수 있다.  그런 만큼 금속재료분   야 전문가의 역할이 매우 중요하다고 할 수 있어 최고의 기술을 소지한 전문인력의    수요는 꾸준할 전망이다.,None,1974년 금속기사 1급으로 신설되어 1979년 금속기사1급(재료)·(제련)·(가공)분야로나 누어졌으며 1999년 금속기사로 변경. 2005년 금속기사(재료분야) 금속기사(제련분야) 금속기사(가공분야)로 분리 2009년 국가기술자격법 개정에 따라 금속기사로 통합,한국산업인력공단,고용노동부,금속기사,- 재료분야 : 제련을 통하여 얻어진 금속을 사용목적에 따라 서로 섞거나 제한된 몇몇               종류의 비금속과 혼합하고 열이나 기계로 처리하여 적합한 성질을 부여하              는 것과 관련된 직무수행,금속.재료,기사,금속공학은 중화학공업의 기반으로서 현대 산업에서 큰 비중을 차지하고 있다.  이에  원광석에서 유용한 금속을 추출하는 제련 및 정련 재료의 성질과 미세구조를 이용하 여 사용목적에 맞는 재료가공 또 금속제품 제조 공정 등을 각각 담당할 전문 기술인 력 양성이 요구되어 자격제도 제정.,- 재료분야는 물리야금실무작업 실시
1322,None,- 제철소 제련소 금속기계제조업체에 진출하거나 조선·자동차·항공·전기전자·방위   산업체 등에 진출할 수 있다.  - 계속적인 첨단산업의 발전을 위해서도 이를 뒷받침할 수 있는 재료의 발전이 필수인   데 그 중에서도 철강을 비롯한 금속재료는 여러 산업분야의 주된 원자재이다.  특히    우리 나라의 대표적인 발전산업인 자동차공업과 조선공업에서도 원자재의 대부분을    차지하는 철강공업의 발전 없이는 불가능하다고 할 수 있다.  그런 만큼 금속재료분   야 전문가의 역할이 매우 중요하다고 할 수 있어 최고의 기술을 소지한 전문인력의    수요는 꾸준할 전망이다.,None,1974년 금속기사 1급으로 신설되어 1979년 금속기사1급(재료)·(제련)·(가공)분야로나 누어졌으며 1999년 금속기사로 변경. 2005년 금속기사(재료분야) 금속기사(제련분야) 금속기사(가공분야)로 분리 2009년 국가기술자격법 개정에 따라 금속기사로 통합,한국산업인력공단,고용노동부,금속기사,- 가공분야 : 개발된 금속과 합금을 유용한 형상으로 만들기 위한 소성가공 주조               표면처리 등과 관련된 직무수행,금속.재료,기사,금속공학은 중화학공업의 기반으로서 현대 산업에서 큰 비중을 차지하고 있다.  이에  원광석에서 유용한 금속을 추출하는 제련 및 정련 재료의 성질과 미세구조를 이용하 여 사용목적에 맞는 재료가공 또 금속제품 제조 공정 등을 각각 담당할 전문 기술인 력 양성이 요구되어 자격제도 제정.,-  가공분야는 주조 및 표면처리 실무작업 실시
1323,None,None,Engineer Metal(Smelting),None,한국산업인력공단,고용노동부,금속기사,None,금속.재료,기사,None,None
1324,None,None,None,None,한국산업인력공단,고용노동부,금속기사1급,None,금속.재료,기사,None,None
1325,None,None,None,None,한국산업인력공단,고용노동부,금속기사2급,None,금속.재료,기사,None,None
1326,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1327,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1328,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1329,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1330,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1331,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1332,None,None,None,None,한국산업인력공단,과학기술부,금속기사2급,None,금속.재료,기사,None,None
1333,None,None,Class Ⅱ Engineer Metal (Processing),None,한국산업인력공단,고용노동부,금속기사2급,None,금속.재료,기사,None,None
1334,None,None,Metal Technician,None,한국산업인력공단,고용노동부,금속다기능기술자,None,금속.재료,기사,None,None
1335,None,None,Class Ⅰ Craftsman Metal Material,None,한국산업인력공단,산업자원부,금속재료기능사1급,None,금속.재료,기사,None,None
1336,None,제철소 제련소 금속기계제조업체에 진출하거나 조선·자동차·항공·전기전자·방위산업체 등의 금속재료 관련 부서에 기술자문 및 지도업무 담당. 또는 금속관련 연구소에 연구원으로 종사하면서 연구개발을 담당 하기도 한다. - 최근 산업구조의 고도화·제품의 고급화추세에 따라 첨단산업 발전을 위한 핵심소재를 생산하는 산업으로서 신소재산업의 중요성이 점차 확대되고 있는데 국내 신소재산업은 1990년대 들어 연평균 19% 정도의 높은 성장을 기록하고 있다. 신금속 분야는 신소재산업분야에서도 유망한 분야로 그 중에서도 특히 수요산업의 경량화 내진·내열·성형성 등의 요구가 계속 높아지면서 고강도·고성형성 강판 극저온용 구조재료 금속박소재 등이 유망하므로 관련분야의 연구개발을 담당할 인력의 수요가 증가 할 것으로 예상된다.,Engineer Metal,1974년(대통령령 제7283호 1974.10.16)1979년(대통령령 제9278호 1979.1.6)1998년(대통령령 제15794호 1998.5.9)2008년(노동부령 제311호 2008.11.26)2012년(고용노동부령 제71호2012.12.21금속기사1급금속기사1급(재료) 중 택일금속기사(재료) 중 택일금속기사금속재료기사금속기사1급(제련) 중 택일금속기사(제련) 중 택일금속기사1급(가공) 중 택일금속기사(가공) 중 택일,한국산업인력공단,산업통상자원부,금속재료기사,금속재료에 관한 기술기초지식과 숙련기능을 바탕으로 유효광물의 함량이 적은 천연광물로부터 정광을 얻기 위한 선광 정광을 환원시켜 금속을 얻는 제련 제련된 금속을 순도 높게 만드는 정련작업과 관련된 직무를 수행,금속.재료,기사,원광석에서 유용한 금속을 추출하는 제련 및 정련 재료의 성질과 미세구조를 이용하여 사용목적에 맞는 재료가공 또 금속제품 제조 공정 등을 담당하고 금속재료의 특성을 파악하기 위해 시험하고 분석 조직검사 열처리 등을 수행할 수 있는 전문기술인력을 양성함으로써 중공업 및 정밀공업 자동차 및 항공 건설산업 등의 기초산업분야에서의 안전과 경제적 이익을 도모하고자 자격제도를 제정,- 필답형은 출제기준 참조- 작업형 금속 및 합금에 기계적 물리적 화학적 성질의 응용과 개발을 통하여 유용한 형상의 소재 및 제품을 만들고 시험 및검사하는 능력을 평가한다.
1337,None,- 제철소 제련소 금속기계제조업체에 진출하거나 조선·자동차·항공·전기전자·방위   산업체 등의 금속재료의 품질관리나 생산관리 관련부서에 진출하거나 경력을 쌓은    후 직접 관련업체를 운영할 수 있다. - 대부분의 업체에서 공인된 능력소지자 채용을 희망하고 있어 자격증 취득시 취업이    유리한 편이고 현업 종사자 중에도 경력과 실력을 인정받고자 자격증을 취득하는 경   우가 많다.  그러나 자격증 취득 후에도 금속재료분야에 대한 폭넓은 이론적 지식과    상위의 실무능력을 쌓도록 꾸준히 노력하는 것이 필요하다.,Industrial Engineer Metal Material,’74.10.16. 대통령령 제7283호’79.01.06. 대통령령 제9278호’91.10.31. 대통령령 제13494호’98.05.09. 대통령령 제15794호현재열처리기능사1급열처리기능사1급금속재료기능사1급금속재료산업기사금속재료산업기사금속재료시험기능사1급금속재료시험기능사1급 금속기사2급(재료)금속기사2급(재료),한국산업인력공단,산업통상자원부,금속재료산업기사,금속재료에 관한 기술기초지식과 상급 숙련기능을 바탕으로 금속과 합금을 유용한 형 상을 만들기 위한 재료시험 결함시험 금속열처리 등의 업무수행 또는 이와 관련된 지도적 기능업무 담당.,금속.재료,기사,금속재료의 특성을 파악하기 위해 시험하고 분석 조직검사 열처리 등을 수행할 수  있는 전문기술인력을 양성함으로써 중공업 및 정밀공업 자동차 및 항공 건설산업 등 의 기초산업분야에서의 안전과 경제적 이익을 도모하고자 자격제도 제정.,- 필답형은 출제기준을 참조- 작업형은 금속재료에 관한 기술기초지식과 상급 숙련기능을 바탕으로 금속과 합금을 유용한 형상을 만들기 위한  재료시험결함시험 금속열처리 등의 업무 또는 이와 관련된 지도적 기능을 평가한다.
1338,None,None,None,None,한국산업인력공단,고용노동부,금속재료시험기능사1급,None,금속.재료,기사,None,None
1339,None,None,Industrial Engineer Metal Refining,None,한국산업인력공단,고용노동부,금속제련산업기사,None,금속.재료,기사,None,None
1340,None,None,Class Ⅰ Craftsman Ceramics,None,한국산업인력공단,고용노동부,세라믹기능사1급,None,금속.재료,기사,None,None
1341,None,None,Engineer Ceramic,None,한국산업인력공단,고용노동부,세라믹기사,None,금속.재료,기사,None,None
1342,None,None,Industrial Engineer Ceramic,None,한국산업인력공단,고용노동부,세라믹산업기사,None,금속.재료,기사,None,None
1343,None,None,None,None,한국산업인력공단,고용노동부,시멘트제조기능사1급,None,금속.재료,기사,None,None
1344,None,None,None,None,한국산업인력공단,고용노동부,압연기능사1급,None,금속.재료,기사,None,None
1345,None,None,None,None,한국산업인력공단,고용노동부,압연기능사1급,None,금속.재료,기사,None,None
1346,None,None,Industrial Engineer Rolling (Hot Rolling),None,한국산업인력공단,고용노동부,압연산업기사,None,금속.재료,기사,None,None
1347,None,None,Industrial Engineer Rolling (Cold Rolling),None,한국산업인력공단,고용노동부,압연산업기사,None,금속.재료,기사,None,None
1348,None,None,None,None,한국산업인력공단,산업자원부,열처리기능사1급,None,금속.재료,기사,None,None
1349,None,None,Industrial Engineer Ceramics,None,한국산업인력공단,고용노동부,요업산업기사,None,금속.재료,기사,None,None
1350,None,None,None,None,한국산업인력공단,고용노동부,유리가공기능사1급,None,금속.재료,기사,None,None
1351,None,ㅇ 대부분의 업체에서 공인된 능력소지자 채용을 희망하고 있어 자격증 취득시 취업이 유리한 편이고  재료의 조직 성질 결함 및파괴손상 여부 등을 정확하게 평가 분석하는 기법으로 전망이 매우 밝음ㅇ우리나라 수출을 주도하고 있는 철강 금속 자동차 조선 반도체 및 디스플레이 중화학공업 등의  이러한 산업 분야와 연구개발분야에서 재료조직평가산업기사 자격을 취득하여 제품의 품질을 좌우하는  품질관리 및 품질보증에 있어 공신력 및 신뢰성을 높이는 작업에 참여,Industrial Engineer Metallography,2012년 재료조직평가산업기사로 신설(대통령령 제22507호 2010.11.26),한국산업인력공단,산업통상자원부,재료조직평가산업기사,ㅇ 재료조직평가에 관한 기초지식과 숙련기능을 바탕으로 금속소재·기계부품 등의 광학현미경·주사전자 현미경의 조직 분석을 위한 시료준비 조직관찰 조직분석 및 평가 영상처리에 필요한 기초 기술 또는  이와 관련된 지도적 기능업무를수행하는 직무,금속.재료,기사,수출을 주도하고 있는 철강 금속 자동차 조선 반도체 및 중화학 공업 등 산업체의 무한경쟁에서 경쟁력 향상을 위해 정확한 품질의 관리와 제품의 신뢰성 향상이 요구되고 품질향상을 담당할 수 있는 재료조직평가 전문가 인력양성으로 산업체의 경쟁력을 확보할 수 있는 재료조직평가 제도의 저변확대를 통한 정착으로 국가기술자격으로 제정,- 필답형은 출제기준을 참조- 작업형은금속재료 재료조직 관한 기술기초 지식과 중급 숙련기능을 바탕으로 재료의 조직 상태 및 불꽃 시험 등을  테스트 실제 조직을 연마 부식처리 등의 업무 관련된 지도적 기능을 평가한다.
1352,None,None,None,None,한국산업인력공단,고용노동부,제강기능사1급,None,금속.재료,기사,None,None
1353,None,None,Industrial Engineer Steel Making (Convertering),None,한국산업인력공단,고용노동부,제강산업기사,None,금속.재료,기사,None,None
