id,career,engJmNm,hist,implNm,instiNm,jmNm,job,mdobligFldNm,seriesNm,summary,trend
1010,None,- 시멘트공업 유리공업 내호물공업 도자기공업과 같은 전통세라믹 분야에서부터 전자   통신 에너지산업 자동차산업 우주항공산업 의료용세라믹 산업과 같은 첨단산업   에 이르기까지 세라믹을 만들거나 소재를 개발하는 기업체에 종사하면서 신소재 개   발 및 재료분석을 담당할 수 있다.  또한 정부출연연구소 기업부설연구소에서 연구   원으로 종사하기도 한다. - 세라믹은 정보화 전자화 환경친화의 시대에 있어 중요한 재료로 인간생활에 필요   한 기계 건조물 생활용품 등 그 종류가 많고 성질이 다양하여 일상생활용품 고온   재료 원자력산업 우주개발 해양개발 등 첨단기술분야에서도 그 활용도가 점차 높   아져 가고 있다.  특히 신소재 산업에서 차지하는 첨단 세라믹스의 비중을 고려할    때 신소재산업의 발달과 더불어 세라믹분야에 관한 고도의 전문 지식과 실무경험을    갖춘 전문가의 역할 역시 커질 전망이다.,Professional Engineer Ceramic,1974년 산업응용기술사(요업)으로 신설(대통령령 제7283호 1974.10.16)-->1991년 요업기술사로 변경(대통령령 제13494호 1991.10.31)-->1998년 세라믹기술사로 변경(대통령령 제15794호 1998.5.9),한국산업인력공단,과학기술정보통신부,세라믹기술사,세라믹 전반에 대한 고도의 전문지식과 실무경험을 바탕으로 새로운 소재나 제품 기술 을 개발하고 세라믹의 원료에서 제작 응용에 이르기까지 전공정을 지도·감독.  또는  세라믹소재에 대한 기술자문 담당.,금속.재료,기술사,세라믹은 일반적으로 금속재료나 유기재료에 비해 내식성 내열성 내마모성 등이 매우  크며 그 기능도 점차 다양해지고 있다.  이에 따라 미래 산업발전의 기반이 되는 세라 믹에 대한 중요성을 인식하고 신소재 및 기술을 개발할 전문인력을 양성하고자 자격제 도 제정.,- 세라믹에 관련된 실무경험 일반지식 및 전문지식 평가- 기술사로서의 감독감리능력 자질 등
1011,None,None,Professional Engineer Ferrous Metallurgy,철야금기술사는 비철야금기술사 종목과 2012년 1월 1일부로 금속제련기술사로 통합되었습니다.1974년 금속기술사(철야금)으로 신설(대통령령 제7283호 1974.10.16)--> 1991년 철야금 기술사로 변경(대통령령 제13494호 1991.10.31),한국산업인력공단,교육과학기술부,철야금기술사,None,금속.재료,기술사,None,None
1012,None,- 현재 금형기술사의 반수 가량은 금형제작업체 자동차 전자 및 전기 기계분야 사업   체등의 연구부서 생산기술부서 금형설계 및 제조부서 등에 진출해 있다.  나머지    반수 가량은 학계 연구소 국공립기관에 진출해 있는데 대학교수 및 직업학교교   사 공업계고등학교교사가 많은 편이다. - 금형은 우리가 매일 사용하는 전기·전자제품을 비롯하여 자동차 철도 선박 항공   기 등의 수송기계와 반도체·통신기기 산업기계 정밀기계 광학기기 농업·건축용   기기 완구 등을 제조하는데 필수적으로  이용되는 만큼 광범위하고 다양하다.  이   와 더불어 금형분야에서의 CAD/CAM 시스템 도입에 의한 자동화와 자동차 가전제품    완구류 등 제품의 모델 수명의 단축에 따른 개발기간의 단축 원가절감을 위한 공정   개선 제품의 고정밀도화가 요구되고 있다.  이에 따라 연구·개발이나 지도 감리    등 기술적 업무를 담당할 고급 전문기술인력에 대한 수요가 지속적으로 증가할 전망   이다.  또한 기술사와 같은 전문기술인력은 해당 분야의 전문지식을 바탕으로 엔지니   어링 및 관련 기술서비스업 기술시험 검사 및 분석관련 업무 등으로 진출하는데도    유리할 전망이다.,Professional Engineer Die and Mould,’87.07.01. 대통령령 제12195호’91.10.31. 대통령령 제13494호현재기계기술사(금형)금형기술사금형기술사,한국산업인력공단,산업통상자원부,금형기술사,금형분야에 관한 고도에 전문지식과 실무경험에 입각하여 계획 연구 설계 분석 시 험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무 수행.,금형.공작기계,기술사,금형은 각종 공산품을 양산하는데 필요한 도구이자 수단으로서 거의 모든 공산품 생산 에 활용된다.  따라서 금형에 의하지 않고는 생산량 확대에 어려움이 뒤따른다.  이에  금형에 관한 공학이론을 바탕으로 공정 기계 및 기술과 관련된 직무를 수행할 전문기 술인 배출을 위해 자격을 제정.,- 금형과 관련된 실무경험 일반지식 전문지식 및 응용능력 - 기술사로서의 경영관리능력 지도감리능력 자질 및 품위
1013,None,- 주로 건설업체 감리전문업체 엔지니어링업체 등으로 진출하며 일부는 기술사    사무소를 개설하거나 건설기계제작 및 정비업체 행정분야 학계 연구소 등으로    진출한다. 「건설기술관리법」에 의한 감리전문회사의 특급감리원이나 「전기   사업법」에 의한 기계안전관리사로 고용될 수 있다. - 건설기계산업은 건설경기에 직접적으로 영향을 받는다. 국내 건설경기는 IMF관리   체제 편입 이후 어려움을 겪었지만 2000년대에 들어서면서 대규모 정부정책사업   (고속철도 신공항건설)의 활성화와 민간부문의 주택건설증가 경제발전에 따른    건설촉진 등에 의하여 점차 회복세를 보일 것으로 기대된다. 또한 세계 건설산업의   성장이 예상됨에 따라 건설기계 수출도 늘어날 전망이다. 이러한 긍정적인 측면에도   불구하고 국내 건설기계 기술수준은 일부 기종을 제외하면 엔진·유압장치 등 주요    핵심부품을 수입에 의존하는 등 아직도 낙후된 상태이다.  또한 핵심기술인력도    부족하여 지속적인  기술개발을위해서는 더 많은 인력양성을 필요로 한다. 한편으로   기술자와 같은 전문기술인력은 해당 분야의 전문지식을 바탕으로 엔지니어링 및    관련기술서비스업 기술시험 검사 및 분석 관련 업무 등으로 진출하는데도 매우    유리할 전망이다.  이에 따라 기술사자격취득을 위한 응시인원도 점차 증가하는    추세이다. - 장기적으로는 여타 선진국과 마찬가지로 저소음 및 연료절감을 위한 기술개발이나    무인작업화를 위한 로봇개발 등에 많은 투자가 이루어질 것으로 기대된다.  이에    따라 로봇 메카트로닉스 기술 컴퓨터와 연계된 자동제어기술을 습득해두면 더욱    유리할 전망이다.,Professional Engineer Construction Equipment,’74.10.16. 대통령령 제7283호’77.12.31. 대통령령 제8799호’91.10.31. 대통령령 제13494호’95.10.16.대통령령 제14783호현재기계기술사(건설기계)건설기계기술사(산업기계)산업기계기술사건설기계기술사건설기계기술사,한국산업인력공단,국토교통부,건설기계기술사,건설기계 분야에 관한 고도의 전문지식과 실무경험에 입각한 계획 연구 설계 분 석 시험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무를 수행.,기계장비설비.설치,기술사,국내 건설기계 생산기술은 범용부품의 경우 선진국 수준에 근접하고 있으나 엔진 유 압장치 등 주요 핵심부품은 낙후된 상태에 머물러 있다. 특히 시스템 디자인 인간공 학 설계기술 전자제어기술 등은 크게 뒤쳐져 있다.  이에 따라 건설기계의 기술향상 을 위하여 기계에 관한 공학적인 이론을 바탕으로 건설기계와 관련한 공정 기술과 관 련된 직무를 수행할 전문적 지식과 풍부한 실무경험을 갖춘 기술인을 배출하기 위해 자 격을 제정.,- 건설기계와 관련된 전문지식 및 응용능력 - 기술사로서 지도감리·경영관리능력 자질 및 품위 등
1014,None,- 주로 건설업체 감리전문업체 엔지니어링업체로 진출하거나 기술사사무소를 개업하   는경우가 많다.  냉동고압가스 및 냉난방·냉동장치 제조업체의 연구개발분야로도 진   출하며 일부는 학계나 정부기관 연구소 등으로 진출한다. 「에너지이용합리화법」   에 의한 에너지절약전문기업의 기술인력 「 전기사업법」에 의한 기계안전관리사   「건설기술관리법」에 의한 감리전문회사의 감리원 등으로 고용될 수 있다.「건축   법」에 의해 일정 규모 이상 또는 에너지 대량소비 건축물에 급수·배수·냉방·난방    및 환기설비를 설치하는 경우 해당 자격자의 협력을 받도록 할 수 있다. - 공조냉동기술은 제빙 식품저장 및 가공분야에서 발달하기 시작하여 경공업 중화학   공업 뿐만 아니라 의학 축산업 원자력공업 및 대형건물의 냉난방시설에 이르기   까지 광범위하게 응용되고 있다. 특히 생활수준 향상으로 냉난방 설비수요가 꾸준   히 증가하고 있다. 이 때문에 해당분야에서 연구 설계 지도 감독 등 주도적 역   할을 수행할 전문기술인력이 더욱 중요해 질 전망이다. 뿐만 아니라 과학기술과 전   문기술에 근거하여 설비 혹은 제조·설치에 있어 기획 타당성조사 설계 분석 구   매조달 검사 감리 시운전 유지보수 사업관리에 관련된 지적서비스를 제공하   는 엔지니어링산업 분야의 진출이 더욱 확대될 전망이다.  공조냉동기술의 중요성   과 더불어 해당분야에 대한 높은 관심은 자격응시인원의 증가로 이어지고 있다.,Professional Engineer Air-conditioning Refrigerating Machinery,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재기계기술사(열원동기)공조냉동기계기술사공조냉동기계기술사기계기술사(냉난방및냉동기계),한국산업인력공단,국토교통부,공조냉동기계기술사,공조냉동기계(공기조화 및 냉동장치) 분야에 관한 고도의 전문지식과 실무경험에 입각 한 계획 연구 설계 분석 시험 운영 시공 평가 또는 이에 관한 지도 감리 등 의 기술업무 수행.,기계장비설비.설치,기술사,공조냉동기술은 인간의 편리하고 쾌적한 생활환경을 위해 필수적 기술로서 단독으로 혹 은 다른 기술과 병합되어 다양한 분야에서 활용되며 생활수준의 향상과 더불어 그 활 용범위가 계속 확대되고 있다.  이처럼 공조냉동기술의 중요성이 더해짐에 따라 공조 냉동분야 공학이론을 바탕으로 공정 기계 및 기술과 관련된 직무를 수행할 수 있는  지식과 실무경력을 겸비한 풍부한 기술인 양성이 필요하게 됨.,- 공조냉동기계와 관련된 전문지식 및 응용능력 - 기술사로서의 지도감리 ·경영관리능력 자질 및 품위
1015,None,None,Professional Engineer Industrial Machinery Facility,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호’04.12.31. 노동부령 제217호현재기계기술사(유체기계)유체기계기술사산업기계설비기술사산업기계설비기술사기계기술사(산업기계)산업기계기술사,한국산업인력공단,과학기술정보통신부,산업기계설비기술사,금속제조 산업기계 섬유제조 제지기계 광산기계 농작업 및 농산기계 운반하역기계 전기기계 화공기계 인쇄기계 유체기계 및 기타 산업용도 기계에 관한 직무를 수행,기계장비설비.설치,기술사,None,None
1016,None,- 주로 유체기계 생산업체나 유체기계를 이용하는 사업체 등에 진출하여 연구개발과 기   술자문 및 지도업무를 담당한다.  이외에 학계 정비기관 연구소 등으로 진출할 수    있다. 「전기사업법」에 의한 기계안전관리사나 「수질환경보전법」에 의한 방지시설   기술자로 고용될 수 있다. - 유체기계(펌프 송풍기 압축기 홴 등)는 그 응용분야가 매우 넓고 종류도 다양하   다.  이 중 펌프는 용도에 따라 건축설비용 농공업용 상하수도용 제지용 식음료   용 석유화학용 발전소용 등으로 분류되고 압축기의 경우도 광범위하게 기술이    응용되는데 우리생활과 밀접한 공조용냉동기(가정용 룸에어컨 냉동기 등)만을 보   더라도 로터리압축기 스크롤압축기 터보압축기 등의 압축기가 사용되고 있다.     이뿐 아니라 각종 송풍기에서부터 컴퓨터 가동시 부품을 식혀주는 소형 홴에 이르기   까지 유체기계는 매우 광범위하게 활용되고 있다.  따라서 유체기계분야의 성장은 이   들 유체기계를 사용하는 건설 석유화학 에너지 환경 수처리분야 제지 섬유 제   철 음료 컴퓨터산업 등의 성장에 영향을 받게 된다.  향후 유체기계 시장은 지속적   인 성장을 이룰 것으로 기대되고 있다.  참고로 펌프시장만을 본다면 최근 5년간   (1992-1996) 13.8%의 성장을 보였고 앞으로도 꾸준한 성장을 할 것으로 보인다(정완   수 '펌프시장 현황 및 국내 펌프업체의 발전전략' 유체기계저널 제2권 제1호    1999).  그렇지만 국내 유체기계 생산업체들 대다수가 일정 수준의 단순설계와 제조    능력을 갖추는데 불과해 선진국에 비해 상세설계능력 대량생산능력 품질면에서 뒤   쳐져 있다.  이에 따라 국내 유체기계분야가 성장하기 위해서는 기술력을 바탕으로    한 고효율 저소음 내환경성 고신뢰성의 제품개발을 통해 고부가가치를 창출할 수    있도록 전문 기술인력을 보다 적극적으로 양성해야 할 것이다. 이 때문에 향후 전문    기술인력에 대한 전망이 밝아 보인다.,Professional Engineer Hydraulic Machinery,1974년 기계기술사(유체기계)로 신설되어 1991년 유체기계기술사로 변경.,한국산업인력공단,과학기술부,유체기계기술사,유체기계분야에 관한 고도의 전문지식과 실무경험에 입각하여 각종 유체를 이용한 기계 장치를 설계하거나 연구 분석 시험 운영 시공 평가하고 또는 이에 관한 지도 감 리등의 기술업무 수행.,기계장비설비.설치,기술사,유체기계는 가스터빈 엔진과 같은 동력기관에서부터 컴퓨터 부품냉각을 위한 소형 홴에  이르기까지 광범위한 분야에 응용되며 그 종류도 매우 다양하다.  이에 따라 유체기계 에 관한 공학이론을 바탕으로 공정 기계 및 기술과 관련된 직무를 수행할 수 있는 전 문적인 지식과 풍부한 실무경험을 갖고 있는 기술인 양성이 필요함.,- 유체기계와 관련된 실무경험 일반지식 전문지식 및 응용능력 - 기술사로서의 경영관리 지도감리능력 자질 및 품위
1017,None,None,Professional Engineer Machine Manufacturing Process Design,기계공정설계기술사 종목은 2012년 1월 1일부로 기계기술사로 통합되었습니다.1979년 기계기술사(기계공정설계)로 신설 ( 대통령령 제9278호 1979.1.6)1991년 기계공정설계기술사로 변경 (대통령령 제13494호 1991.10.31),한국산업인력공단,교육과학기술부,기계공정설계기술사,None,기계제작,기술사,None,None
1018,None,None,Professional Engineer Machine,’74.10.16. 대통령령 제7283호79.01.06.대통령령 제9278호’91.10.31. 대통령령 제13494호’10.12.13고용노동부령 제11호현재기계기술사(기계공작및공작기계)기계기술사(기계공작및공작기계)기계제작기술사기계기술사기계기술사기계기술사(정밀기계)기계기술사(정밀기계) 기계기술사(기계공정설계)기계공정설계기술사.,한국산업인력공단,과학기술정보통신부,기계기술사,None,기계제작,기술사,기계제작공정은 소재를 유용하고 유익한 제품으로 변형시키는 과정으로 생산성 및 생산 비용과 밀접히 연관된다. 따라서 기계분야의 경쟁력을 강화하기 위해서는 철저하게 기 술적으로 경제적인 방법을 선택할 필요가 있다. 이런 이유로 기계제작 및 생산에 관한 공학이론 을 바탕으로 공정설계 기계 및 생산 기술과 관련된 직무를 수행할 수 있는 지식과 실무경험 을 겸비한 기술인 양성이 필요하게 됨.,None
1019,None,None,None,None,한국산업인력공단,과학기술부,기계기술사(기계공작및공작기계),None,기계제작,기술사,None,None
